frame,time_s,x_green,y_green,x_red,y_red,theta1_deg,theta2_deg,dropout
331,5.52218,672,502,720,658,23.527,17.103,0
332,5.53887,676,500,703,662,25.125,9.462,0
333,5.55555,677,499,685,663,25.602,2.793,0
334,5.57223,678,498,666,661,26.082,-4.21,0
335,5.58892,678,498,649,660,26.082,-10.149,0
336,5.6056,676,500,633,658,25.125,-15.224,0
337,5.62228,673,501,617,656,23.999,-19.864,0
338,5.63897,668,504,603,654,21.934,-23.429,0
339,5.65565,662,505,590,654,19.799,-25.791,0
340,5.67233,656,509,577,653,17.312,-28.75,0
341,5.68902,647,510,565,653,14.123,-29.831,0
342,5.7057,638,515,555,655,10.62,-30.662,0
343,5.72238,629,515,547,657,7.477,-30.005,0
344,5.73907,616,517,539,659,2.827,-28.469,0
345,5.75575,603,517,532,663,-1.768,-25.934,0
346,5.77243,590,515,528,665,-6.419,-22.457,0
347,5.78912,577,513,523,667,-11.101,-19.323,0
348,5.8058,563,511,521,667,-16.091,-15.068,0
349,5.82248,551,505,521,665,-20.807,-10.62,0
350,5.83917,539,502,519,662,-25.145,-7.125,0
351,5.85585,530,496,518,658,-28.951,-4.236,0
352,5.87253,521,491,515,653,-32.607,-2.121,0
353,5.88922,515,487,513,649,-35.166,-0.707,0
354,5.9059,510,484,510,645,-37.224,0.0,0
355,5.92258,505,479,507,641,-39.715,0.707,0
356,5.93927,503,477,503,640,-40.717,0.0,0
357,5.95595,500,475,499,638,-41.987,-0.352,0
358,5.97263,499,474,493,638,-42.489,-2.095,0
359,5.98932,500,474,488,638,-42.226,-4.185,0
360,6.006,501,476,483,638,-41.486,-6.34,0
361,6.02268,504,479,478,640,-39.987,-9.174,0
362,6.03937,508,484,472,641,-37.783,-12.915,0
363,6.05605,514,487,467,641,-35.455,-16.972,0
364,6.07273,520,491,461,641,-32.905,-21.471,0
365,6.08942,528,496,457,641,-29.57,-26.089,0
366,6.1061,538,501,454,637,-25.615,-31.701,0
367,6.12278,548,505,452,634,-21.801,-36.656,0
368,6.13947,558,509,453,630,-17.987,-40.95,0
369,6.15615,567,511,455,626,-14.725,-44.243,0
370,6.17283,577,513,460,622,-11.101,-47.027,0
371,6.18952,587,515,466,619,-7.477,-49.321,0
372,6.2062,597,517,473,617,-3.884,-51.116,0
373,6.22288,605,516,482,617,-1.067,-50.609,0
374,6.23957,613,516,490,618,1.779,-50.332,0
375,6.25625,621,515,501,621,4.645,-48.545,0
376,6.27293,628,515,513,626,7.125,-46.014,0
377,6.28962,635,514,524,631,9.638,-43.493,0
378,6.3063,641,513,537,638,11.797,-39.76,0
379,6.32298,644,510,552,645,13.076,-34.274,0
380,6.33967,646,510,568,654,13.775,-28.443,0
381,6.35635,648,510,586,661,14.47,-22.323,0
382,6.37303,648,510,606,668,14.47,-14.886,0
383,6.38972,646,510,626,673,13.775,-6.995,0
384,6.4064,644,512,649,674,12.915,1.768,0
385,6.42308,638,513,670,672,10.751,11.379,0
386,6.43977,634,514,691,665,9.287,20.681,0
387,6.45645,630,514,709,656,7.878,29.089,0
388,6.47313,627,515,724,644,6.772,36.941,0
389,6.48982,624,515,739,630,5.711,45.0,0
390,6.5065,622,516,749,618,4.97,51.23,0
391,6.52318,622,515,758,605,5.001,56.505,0
392,6.53987,622,515,765,594,5.001,61.082,0
393,6.55655,622,516,771,582,4.97,66.109,0
394,6.57323,623,516,775,573,5.323,69.444,0
395,6.58992,626,517,780,566,6.34,72.35,0
396,6.6066,626,516,783,561,6.379,74.006,0
397,6.62328,627,516,785,557,6.73,75.453,0
398,6.63997,628,515,787,555,7.125,75.879,0
399,6.65665,630,515,788,555,7.829,75.793,0
400,6.67333,632,514,790,559,8.584,74.103,0
401,6.69002,634,514,790,563,9.287,72.562,0
402,6.7067,636,514,788,568,9.987,70.442,0
403,6.72338,638,513,788,576,10.751,67.218,0
404,6.74007,640,513,786,585,11.449,63.75,0
405,6.75675,644,514,783,596,12.758,59.462,0
406,6.77343,645,511,777,608,13.343,53.69,0
407,6.79012,648,509,769,620,14.56,47.468,0
408,6.8068,652,508,758,633,16.044,40.298,0
409,6.82348,656,506,745,644,17.634,32.819,0
410,6.84017,662,505,731,656,19.799,24.558,0
411,6.85685,665,503,713,661,21.063,16.899,0
412,6.87353,669,502,694,663,22.537,8.826,0
413,6.89022,671,501,675,665,23.341,1.397,0
414,6.9069,673,500,657,664,24.146,-5.572,0
415,6.92358,671,500,640,662,23.484,-10.833,0
416,6.94027,670,502,624,658,22.868,-16.429,0
417,6.95695,665,503,608,656,21.063,-20.433,0
418,6.97363,661,505,593,654,19.46,-24.531,0
419,6.99032,655,507,579,652,17.182,-27.661,0
420,7.007,648,510,567,651,14.47,-29.876,0
421,7.02368,640,513,555,651,11.449,-31.631,0
422,7.04037,631,515,544,652,8.18,-32.417,0
423,7.05705,620,517,535,652,4.236,-32.196,0
424,7.07373,609,516,526,655,0.356,-30.842,0
425,7.09042,598,517,519,658,-3.532,-29.261,0
426,7.1071,584,515,514,660,-8.531,-25.769,0
427,7.12378,572,512,512,661,-12.915,-21.934,0
428,7.14047,559,510,508,662,-17.543,-18.548,0
429,7.15715,548,506,507,661,-21.67,-14.816,0
430,7.17383,537,502,506,658,-25.78,-11.239,0
431,7.19052,528,496,505,655,-29.57,-8.231,0
