frame,time_s,gx_crop,gy_crop,rx_crop,ry_crop
796,13.279933,246,466,220,616
797,13.296617,266,474,215,616
798,13.313300,287,480,214,611
799,13.329983,309,481,218,598
800,13.346667,331,479,225,586
801,13.363350,349,476,235,575
802,13.380033,367,471,248,567
803,13.396717,379,466,261,563
804,13.413400,388,460,274,561
805,13.430083,396,456,288,563
806,13.446767,399,454,300,570
807,13.463450,398,455,311,582
808,13.480133,393,458,324,595
809,13.496817,385,462,338,609
810,13.513500,374,469,355,620
811,13.530183,359,474,374,625
812,13.546867,341,479,392,620
813,13.563550,323,480,405,605
814,13.580233,304,480,410,583
815,13.596917,286,478,412,561
816,13.613600,270,474,408,539
817,13.630283,256,469,402,519
818,13.646967,244,465,394,500
819,13.663650,236,461,388,486
820,13.680333,230,456,383,473
821,13.697017,225,453,379,463
822,13.713700,224,452,378,456
823,13.730383,227,455,381,449
824,13.747067,234,460,387,445
825,13.763750,244,464,396,443
826,13.780433,254,470,406,443
827,13.797117,267,474,418,446
828,13.813800,282,478,433,450
829,13.830483,298,480,451,459
830,13.847167,314,481,469,470
831,13.863850,333,479,487,486
832,13.880533,353,475,503,504
833,13.897217,372,468,513,526
834,13.913900,390,460,514,547
835,13.930583,407,448,504,563
836,13.947267,421,436,488,570
837,13.963950,423,433,474,575
838,13.980633,422,434,462,581
839,13.997317,418,439,450,587
840,14.014000,412,444,440,595
841,14.030683,403,451,429,602
842,14.047367,390,460,419,609
843,14.064050,375,468,410,615
844,14.080733,357,475,400,619
845,14.097417,338,479,389,620
846,14.114100,316,481,375,618
847,14.130783,295,480,359,615
848,14.147467,277,476,340,612
849,14.164150,261,471,319,610
850,14.180833,249,466,296,610
851,14.197517,239,462,271,611
852,14.214200,234,459,243,611
853,14.230883,234,459,215,610
854,14.247567,239,462,184,604
855,14.264250,249,468,158,588
856,14.280933,261,472,140,563
857,14.297617,274,476,133,533
858,14.314300,287,479,135,502
859,14.330983,300,480,145,473
860,14.347667,312,482,162,446
861,14.364350,325,481,182,423
862,14.381033,339,478,205,405
863,14.397717,354,475,227,389
864,14.414400,368,470,249,376
865,14.431083,380,465,268,363
866,14.447767,389,460,285,350
867,14.464450,395,456,301,338
868,14.481133,398,454,320,325
869,14.497817,397,454,337,316
870,14.514500,389,459,358,310
871,14.531183,381,464,383,312
872,14.547867,370,469,409,321
873,14.564550,358,473,432,339
874,14.581233,346,477,454,368
875,14.597917,333,479,468,408
876,14.614600,322,481,474,452
877,14.631283,312,480,461,509
878,14.647967,306,480,433,563
879,14.664650,305,480,385,608
880,14.681333,312,481,333,629
881,14.698017,321,481,262,620
882,14.714700,324,480,213,585
883,14.731383,319,481,180,541
884,14.748067,310,481,163,492
885,14.764750,296,480,150,448
886,14.781433,283,478,149,407
887,14.798117,270,475,159,373
888,14.814800,260,472,174,347
889,14.831483,252,468,192,330
890,14.848167,250,467,211,321
891,14.864850,254,469,229,319
892,14.881533,261,471,247,321
893,14.898217,271,475,264,323
894,14.914900,283,478,278,326
895,14.931583,297,480,293,327
896,14.948267,310,481,304,329
897,14.964950,320,480,324,329
898,14.981633,329,480,338,329
899,14.998317,332,479,355,330
900,15.015000,334,478,374,332
901,15.031683,330,479,394,341
902,15.048367,323,480,413,357
903,15.065050,314,481,431,381
904,15.081733,305,480,443,414
905,15.098417,297,480,446,452
906,15.115100,288,479,438,496
907,15.131783,283,476,417,539
908,15.148467,278,476,385,583
909,15.165150,276,476,337,615
910,15.181833,276,476,284,628
911,15.198517,280,478,227,620
912,15.215200,281,479,180,591
913,15.231883,281,477,149,552
914,15.248567,276,476,129,507
915,15.265250,269,475,117,467
916,15.281933,261,472,115,427
917,15.298617,253,469,121,393
918,15.315300,247,467,134,365
919,15.331983,244,465,153,344
920,15.348667,247,466,175,333
921,15.365350,253,468,197,327
