stem,x_param,theta1_deg,omega1_deg_s
3.2V_0.98Hz,3.2000,42.1936,641.7360
3.2V_0.98Hz,3.2000,17.7033,80.6628
3.2V_0.98Hz,3.2000,23.9410,149.9939
3.2V_0.98Hz,3.2000,44.7801,392.4291
3.2V_0.98Hz,3.2000,20.5850,216.9185
3.2V_0.98Hz,3.2000,38.9427,327.1668
3.2V_0.98Hz,3.2000,24.4630,20.8118
3.2V_0.98Hz,3.2000,23.9175,92.8727
3.2V_0.98Hz,3.2000,46.2110,381.7446
3.2V_0.98Hz,3.2000,51.0719,260.7213
3.2V_0.98Hz,3.2000,54.7345,313.6874
3.2V_0.98Hz,3.2000,10.1467,191.9447
3.2V_0.98Hz,3.2000,24.6106,176.9077
3.2V_0.98Hz,3.2000,47.0198,314.8679
3.2V_0.98Hz,3.2000,55.4398,109.8425
3.2V_0.98Hz,3.2000,58.0956,137.3960
3.2V_0.98Hz,3.2000,24.0464,22.4730
3.2V_0.98Hz,3.2000,12.4648,133.3298
3.2V_0.98Hz,3.2000,26.5681,308.3897
3.2V_0.98Hz,3.2000,1.6142,371.5114
3.2V_0.98Hz,3.2000,19.5983,147.0788
3.2V_0.98Hz,3.2000,40.3078,364.1187
3.2V_0.98Hz,3.2000,6.8098,525.4042
3.2V_0.98Hz,3.2000,14.9957,104.6758
3.2V_0.98Hz,3.2000,32.7136,302.8449
3.2V_0.98Hz,3.2000,5.5096,589.6983
3.2V_0.98Hz,3.2000,21.9108,181.8903
3.2V_0.98Hz,3.2000,32.3382,661.4920
3.2V_0.98Hz,3.2000,18.1055,121.3829
3.2V_0.98Hz,3.2000,32.0619,225.3148
3.2V_0.98Hz,3.2000,59.0936,301.1281
3.2V_0.98Hz,3.2000,20.5262,101.7089
3.2V_0.98Hz,3.2000,32.5782,442.9432
3.2V_0.98Hz,3.2000,25.8538,235.1464
3.2V_0.98Hz,3.2000,46.0131,320.5811
3.2V_0.98Hz,3.2000,37.1340,-17.5631
3.2V_0.98Hz,3.2000,18.9658,12.8836
3.2V_0.98Hz,3.2000,17.1889,96.1806
3.2V_0.98Hz,3.2000,33.1697,438.1829
3.2V_0.98Hz,3.2000,6.4663,591.5270
3.2V_0.99Hz,3.2000,68.1930,-23.0795
3.2V_0.99Hz,3.2000,60.2132,80.9735
3.2V_0.99Hz,3.2000,80.6095,-140.9396
3.2V_0.99Hz,3.2000,66.7710,19.8255
3.2V_0.99Hz,3.2000,67.6957,-194.8772
3.2V_0.99Hz,3.2000,70.9580,35.2382
3.2V_0.99Hz,3.2000,80.3320,-261.7187
3.2V_0.99Hz,3.2000,51.8408,-137.1232
3.2V_0.99Hz,3.2000,71.3512,-248.5494
3.2V_0.99Hz,3.2000,58.4528,-72.4700
3.2V_0.99Hz,3.2000,70.9087,-178.0962
3.2V_0.99Hz,3.2000,68.2000,6.8354
3.2V_0.99Hz,3.2000,79.1802,-291.3775
3.2V_0.99Hz,3.2000,64.4380,-53.9412
3.2V_0.99Hz,3.2000,57.0250,-4.3051
3.2V_0.99Hz,3.2000,47.4060,-87.3063
3.2V_0.99Hz,3.2000,80.3123,-200.6068
3.2V_0.99Hz,3.2000,64.3940,-15.5428
3.2V_0.99Hz,3.2000,57.4141,-249.4088
3.2V_0.99Hz,3.2000,68.9491,-69.6506
3.2V_0.99Hz,3.2000,57.4770,-1.4311
3.2V_0.99Hz,3.2000,71.4203,-296.7816
3.2V_0.99Hz,3.2000,46.5567,-253.0823
3.2V_0.99Hz,3.2000,53.7137,-141.7510
3.2V_0.99Hz,3.2000,75.3499,-192.6726
3.2V_0.99Hz,3.2000,67.1150,-18.9281
3.2V_0.99Hz,3.2000,57.1813,-240.9221
3.2V_0.99Hz,3.2000,63.0785,-40.5778
3.2V_0.99Hz,3.2000,60.1350,3.0722
3.2V_0.99Hz,3.2000,72.7418,-141.6250
3.2V_0.99Hz,3.2000,64.4010,-5.3051
3.2V_0.99Hz,3.2000,68.9721,-207.6653
3.2V_0.99Hz,3.2000,83.7415,-265.6280
3.2V_0.99Hz,3.2000,48.7518,-211.5199
3.2V_0.99Hz,3.2000,57.7914,-133.3706
3.2V_0.99Hz,3.2000,69.0265,-235.6201
3.2V_0.99Hz,3.2000,61.1801,-43.7225
3.2V_0.99Hz,3.2000,72.7012,-244.9387
3.2V_0.99Hz,3.2000,67.4370,-15.0701
3.2V_0.99Hz,3.2000,68.6998,-111.3966
3.2V_0.99Hz,3.2000,66.6350,-34.1028
3.2V_0.99Hz,3.2000,49.9204,-180.4132
3.2V_0.99Hz,3.2000,53.1734,-145.4371
3.2V_0.99Hz,3.2000,52.1782,-163.8157
3.2V_0.99Hz,3.2000,42.1457,-186.1635
3.2V_0.99Hz,3.2000,48.7326,-129.3234
3.2V_0.99Hz,3.2000,93.7718,-289.6416
3.2V_0.99Hz,3.2000,51.5564,-118.4350
3.2V_0.99Hz,3.2000,46.3520,-106.3470
3.2V_0.99Hz,3.2000,63.3480,-30.6272
3.2V_0.99Hz,3.2000,66.5563,-223.1752
3.2V_0.99Hz,3.2000,68.4910,-21.7004
3.2V_0.99Hz,3.2000,59.5760,-395.4229
3.2V_0.99Hz,3.2000,71.2753,-118.8836
3.2V_0.99Hz,3.2000,51.0600,2.5194
3.2V_0.99Hz,3.2000,68.8836,-186.0915
3.2V_0.99Hz,3.2000,68.4950,25.6363
3.2V_0.99Hz,3.2000,67.6702,-306.5585
3.2V_0.99Hz,3.2000,54.2937,-191.6259
3.2V_1Hz,3.2000,-68.5872,-221.5235
3.2V_1Hz,3.2000,-41.4271,-419.0857
3.2V_1Hz,3.2000,-57.1570,-54.6053
3.2V_1Hz,3.2000,-66.6630,-418.1456
3.2V_1Hz,3.2000,-29.9379,-163.3758
3.2V_1Hz,3.2000,-78.3990,24.9501
3.2V_1Hz,3.2000,-58.9289,-1.0664
3.2V_1Hz,3.2000,-54.0745,-486.1165
3.2V_1Hz,3.2000,-34.7278,-239.0183
3.2V_1Hz,3.2000,-68.8357,99.4831
3.2V_1Hz,3.2000,-52.8175,-98.4867
3.2V_1Hz,3.2000,-76.2198,-365.1723
3.2V_1Hz,3.2000,-71.0993,-112.0433
3.2V_1Hz,3.2000,-51.5766,-372.2322
3.2V_1Hz,3.2000,-65.2409,-302.4680
3.2V_1Hz,3.2000,-72.0276,-281.5963
3.2V_1Hz,3.2000,-33.9420,-166.9916
3.2V_1Hz,3.2000,-72.0322,-398.1161
3.2V_1Hz,3.2000,-66.4538,-198.5957
