stem,x_param,theta1_deg,omega1_deg_s
3.2V_0.96Hz,0.9600,32.1227,481.2489
3.2V_0.96Hz,0.9600,17.9673,182.0642
3.2V_0.96Hz,0.9600,58.0923,454.5403
3.2V_0.96Hz,0.9600,75.7991,275.2834
3.2V_0.96Hz,0.9600,62.8987,138.9460
3.2V_0.96Hz,0.9600,81.0134,132.0504
3.2V_0.96Hz,0.9600,27.5540,399.1223
3.2V_0.96Hz,0.9600,24.5887,80.5219
3.2V_0.96Hz,0.9600,56.8805,394.2208
3.2V_0.96Hz,0.9600,24.4191,79.7528
3.2V_0.96Hz,0.9600,31.3189,32.0383
3.2V_0.96Hz,0.9600,29.6216,584.8487
3.2V_0.96Hz,0.9600,21.6874,81.9646
3.2V_0.96Hz,0.9600,55.8624,459.1961
3.2V_0.96Hz,0.9600,22.5097,80.2313
3.2V_0.96Hz,0.9600,24.3483,101.8824
3.2V_0.96Hz,0.9600,58.8073,162.9833
3.2V_0.96Hz,0.9600,38.1677,537.2696
3.2V_0.96Hz,0.9600,22.9101,101.5332
3.2V_0.96Hz,0.9600,59.2778,291.6245
3.2V_0.96Hz,0.9600,25.6335,57.9987
3.2V_0.96Hz,0.9600,34.1301,16.6660
3.2V_0.96Hz,0.9600,83.0654,303.3200
3.2V_0.96Hz,0.9600,31.9557,399.0146
3.2V_0.96Hz,0.9600,25.7386,166.8237
3.2V_0.96Hz,0.9600,66.6582,279.2230
3.2V_0.96Hz,0.9600,36.2453,577.6684
3.2V_0.96Hz,0.9600,22.8724,128.0127
3.2V_0.96Hz,0.9600,56.2333,379.5302
3.2V_0.96Hz,0.9600,24.4382,98.7562
3.2V_0.96Hz,0.9600,37.0874,17.7513
3.2V_0.96Hz,0.9600,37.6640,543.1060
3.2V_0.96Hz,0.9600,24.5994,101.8573
3.2V_0.96Hz,0.9600,58.5560,224.6754
3.2V_0.96Hz,0.9600,23.2556,155.1325
3.2V_0.96Hz,0.9600,60.3029,184.9450
3.2V_0.96Hz,0.9600,31.0655,562.5744
3.2V_0.96Hz,0.9600,24.5849,120.2444
3.2V_0.96Hz,0.9600,58.5510,296.3966
3.2V_0.96Hz,0.9600,31.4463,-8.6400
3.2V_0.96Hz,0.9600,58.9054,234.1565
3.2V_0.96Hz,0.9600,20.0374,139.8117
3.2V_0.96Hz,0.9600,32.8603,17.9716
3.2V_0.96Hz,0.9600,23.4436,428.1778
3.2V_0.96Hz,0.9600,21.9719,37.8997
3.2V_0.97Hz,0.9700,22.8170,5.7962
3.2V_0.97Hz,0.9700,7.4035,70.3956
3.2V_0.97Hz,0.9700,20.2311,167.1512
